Location ZIP [Public School] 2011-12,School Name,ScriptEd,NAF/DOE,CTE,MOUSE,CSNYC,Bootstrap,SGD,SEP,TEALS,ECS,ASE,C/I,AP CS A,Club,Charter,CS Courses?,Address,Website,County,City,Lowest Grade Offered,Highest Grade Offered,Total Students 9th-12th [DOE 2013-14],9th Grade,10th Grade,11th Grade,12th Grade,Free Lunch % (Inside Schools),Free & Reduced Lunch (NCES  2011-12/2012-13),% eligible for free or reduced lunch (DOE 2013-14)
10468,CHANNEL VIEW SCHOOL FOR RESEARCH,,,,,,,,,,,,,,YES,,Located on a barrier island; Computer Extracurricular,10000 BEACH CHANNEL DR,http://insideschools.org/component/schools/school/1146,QUEENS COUNTY,ROCKAWAY PARK,6th Grade,12th Grade,453,107,129,111,106,,,100.0%
10013,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,,,YES,,,,,,,,,,,,,Certifications in Computer Networking ,"131 Avenue of the Americas, New York, NY 10013","http://www.chelseahighschool.ws/
http://insideschools.org/component/schools/school/114",,MANHATTAN,9th Grade,12th Grade,443,135,125,111,72,,,80.6%
10040,CITY COLLEGE ACADEMY OF THE ARTS,,,,,,,,,,,,,,,,Web Design,"4600 Broadway, New York, NY 10040",http://schools.nyc.gov/SchoolPortals/06/M293/default.htm,,MANHATTAN,6th Grade,12th Grade,340,87,92,81,80,,,88.2%
11201,"City Polytechnic High School of Engineering, Architecture, and Technology",YES,YES,,,,,,,,,,,,,,Current ScriptEd School,"105 Tech Place, Brooklyn, NY 11201",http://insideschools.org/component/schools/school/1596,,BROOKLYN,9th Grade,12th Grade,451,124,124,4,199,,,72.7%
10460,CIVIC LEADERSHIP ACADEMY,,,,,,,,,,,,,,,,Unclear,4510 94TH ST,http://insideschools.org/component/schools/school/1497,QUEENS COUNTY,ELMHURST,9th Grade,12th Grade,453,134,131,115,73,,,78.6%
11225,CLARA BARTON HIGH SCHOOL,,,YES,,,,,,,,,,,,,None,"901 Classon Avenue, Brooklyn, NY 11225",http://insideschools.org/component/schools/school/770,,BROOKLYN,9th Grade,12th Grade,1525,518,419,281,307,,,79.4%
10457,Claremont International High School,YES,,,,,,,,,,,,,,,Current ScriptEd School,"240 East 172nd Street, Bronx, NY 10457",http://insideschools.org/component/schools/school/8215,,Bronx,9th Grade,11th Grade,171,93,78,0,0,,,100.0%
10035,COALITION SCHOOL FOR SOCIAL CHANGE,,,,,,,,,,,,,,,,MOUSE Squad,"2351 1st Avenue, New York, NY 10035",http://insideschools.org/component/schools/school/84,,MANHATTAN,9th Grade,12th Grade,311,103,100,53,55,,,100.0%
11201,COBBLE HILL SCHOOL OF AMERICAN STUDIES,,,YES,,,,,,,,,,,,,None,"347 BALTIC STREET, Brooklyn NY 11201",http://www.cobblehillhighschool.org/,,BROOKLYN,9th Grade,12th Grade,571,214,136,127,94,,,87.4%
10469,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,,,,,,,,,,,,,,YES,,"Web Design and Development Club; AP classes, college trips","925 Astor Avenue, Bronx, NY 10469",http://insideschools.org/component/schools/school/523,,BRONX,9th Grade,12th Grade,656,219,209,124,104,,,77.9%
11207,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,,,,,,,,,,,,,,,,None; strong partnerships with health organizations,504 WEST 158th ST,http://insideschools.org/component/schools/school/1341,NEW YORK COUNTY,NEW YORK,6th Grade,12th Grade,361,117,110,67,67,,,90.7%
10451,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,,,,,,,,,,,,,,,,None,"350 Gerard Avenue, Bronx, NY 10451",http://insideschools.org/component/schools/school/289,,BRONX,9th Grade,12th Grade,335,120,90,50,75,,,87.2%
10456,Comprehensive Model School Project,,,,,YES,,,,,YES,,,,,,None,"580 Crotona Park South, Bronx, NY 10456",http://insideschools.org/component/schools/school/386,,BRONX,6th Grade,10th Grade,221,111,110,0,0,,,96.5%
10029,Cristo Rey New York High School,YES,,,,,,,,,,,,,,YES,Current ScriptEd School,"112 East 106th Street, New York, NY 10029",http://www.cristoreyny.org/,,MANHATTAN,9th Grade,12th Grade,380,,,,,,"""Most students""",
10455,CROTONA ACADEMY HIGH SCHOOL,,,,,,,,,,,,,,,,Transfer school; older students,"639 St. Anns Avenue, Bronx NY 10455",http://insideschools.org/component/schools/school/1329,,BRONX,9th Grade,12th Grade,105,11,25,33,36,,,90.5%
10458,CROTONA INTERNATIONAL HIGH SCHOOL,,,YES,,,,,,,,,,,,,"All Immigrants (ELL), Tech Club;  (718) 561-8701 ","2474 CROTONA AVENUE, Bronx, NY 10458",http://insideschools.org/component/schools/school/8147,,Bronx,9th Grade,12th Grade,252,89,85,78,0,,,100.0%
11203,Cultural Academy for the Arts and Sciences,,,,,YES,,,,,,,,,,,Unclear,"5800 Tilden Avenue, Brooklyn, NY 11203",http://insideschools.org/component/schools/school/1508?Itemid=64,,BROOKLYN,9th Grade,12th Grade,309,135,99,35,40,,,81.9%
10009,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,,,,,,,,,,,,,,,,"None, but strong academic program (macro and micro econ, etc.)",999 JAMAICA AVE,http://insideschools.org/component/schools/school/1374,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,370,88,89,93,100,,,86.5%
10468,DEWITT CLINTON HIGH SCHOOL,,,YES,,,,,,,,,,,,,Unclear; multiple initiatives and extracurriculars,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",http://insideschools.org/component/schools/school/475,,BRONX,9th Grade,12th Grade,2746,738,806,615,587,,,75.9%
10468,DISCOVERY HIGH SCHOOL,,,,,,,,,,,,YES,,,,Offer 'digital video'; and C/I has one after-school class,"2780 Reservoir Avenue, Bronx, NY 10468",http://insideschools.org/component/schools/school/482,,BRONX,9th Grade,12th Grade,542,133,183,173,53,,,82.1%
10456,DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear,"800 HOME STREET, Bronx NY 10456","http://insideschools.org/component/schools/school/1691
http://www.healthscienceschool.org/",,BRONX,6th Grade,10th Grade,418*,,,,,92.0%,,
11205,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,,,,YES,,,,,,,,,,,,None; has robotics program; 718-834-6760,"101 Park Avenue, Brooklyn, NY, 11205",http://www.mckinneyssa.com/,,BROOKLYN,6th Grade,12th Grade,361,87,106,69,99,,,83.9%
10457,DREAMYARD PREPARATORY SCHOOL,,,,,,,,,,,,,,,,None (arts focus),"240 East 172nd Street, Bronx, NY 10457",http://rblanc6.wix.com/welcomedyp,,BRONX,9th Grade,12th Grade,345,115,98,76,56,,,100.0%
10457,Eagle Academy for Young Men,,,,,YES,,,YES,YES,,,,,,,Computer Science AB Courses,"4143 3rd Avenue, Bronx, NY 10457",http://insideschools.org/component/schools/school/390,,Bronx,6th Grade,12th Grade,387,102,111,92,82,,,80.5%
11355,EAGLE ACADEMY FOR YOUNG MEN II,,,,,,,,,,,,,,,,None; all boys school,1137 HERKIMER ST,http://insideschools.org/component/schools/school/1546,KINGS COUNTY,BROOKLYN,6th Grade,10th Grade,226,82,79,65,0,,,75.8%
10460,EAST BRONX ACADEMY FOR THE FUTURE,,,,,,,,,,,,,,,,None,"1716 Southern Boulevard, Bronx, NY 10460",https://sites.google.com/a/eastbronxacademy.org/welcome-to-east-bronx-academy/,,BRONX,6th Grade,12th Grade,363,88,100,87,88,,,91.6%
11221,EAST BROOKLYN COMMUNITY HIGH SCHOOL,,,,,,,,,,,,,,,,Transfer school; older students,9517 KINGS HGWY,http://insideschools.org/component/schools/school/1600,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,187,20,29,66,72,,,77.5%
11207,EAST NEW YORK FAMILY ACADEMY,,,,,YES,YES,,,,,,,,,,None; (718) 927-0012,2057 LINDEN BOULEVARD; Brooklyn NY 11207,http://schools.nyc.gov/SchoolPortals/19/K409/default.htm,,BROOKLYN,6th Grade,12th Grade,285,81,91,70,43,,,84.6%
10009,EAST SIDE COMMUNITY SCHOOL,,,,,,,,,,,,,,,,Art and Computer Design Extracurricular Class (nothing in main curriculum),"420 East 12th Street, New York, NY 10009",http://www.eschs.org/,,MANHATTAN,6th Grade,12th Grade,388,101,100,91,96,,,73.0%
11355,EAST WEST SCHOOL OF INTERNATIONAL STUDIES,,,,,YES,,,,YES,YES,,,,,,"- Yes - 1 CS teacher 
- Advertise Girls Who Code Summer Immersion Program","46-21 Colden Street, Flushing, NY 11355",http://www.ewsis.org/,,Queens,6th Grade,12th Grade,371,93,91,100,87,,,83.0%
11221,EBC HIGH SCHOOL FOR PUBLIC SERVICE BUSHWICK,,,,,,,,,,,,,,,,None,"1155 DEKALB AVENUE, Brooklyn NY 11221",http://insideschools.org/component/schools/school/986,,BROOKLYN,9th Grade,12th Grade,513,134,155,128,96,,,92.2%
10025,Edward A. Reynolds West Side High School,,,,,YES,YES,,,,,,,,,,Unclear,"140 West 102nd Street, New York, NY 10025",http://insideschools.org/component/schools/school/1321,,MANHATTAN,9th Grade,12th Grade,522,1,138,194,189,,,86.2%
10025,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,,,,,,,,,,,,,,,,None; Strong arts focus; no AP classes,250 HOOPER ST,http://insideschools.org/component/schools/school/657?Itemid=64,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,225,60,80,45,40,,,84.0%
10002,EMMA LAZARUS HIGH SCHOOL,,,,,,,,,,,,,,,,All ELL students; ,"100 HESTER STREET, Manhattan NY 10002",http://www.emmalazarus.org/,,MANHATTAN,9th Grade,12th Grade,221,42,98,39,42,,,96.4%
11106,Energy Tech High School,,,YES,,YES,YES,,,,,,,,,,Six-year program where students study engineering and get associates degree,"36-41 28 St, Queens NY 11106",http://insideschools.org/component/schools/school/8255,,Queens,9th Grade,14th Grade,119,119,0,0,0,,,76.5%
10463,English Language Learners and International Support Preparatory Academy (ELLIS),,,,,,,,,,,,,,,,ELL focus,"99 Terrace View Avenue, Bronx, NY 10463",http://schools.nyc.gov/SchoolPortals/10/X397/default.htm,,BRONX,9th Grade,12th Grade,335,98,88,68,81,,,90.7%
10002,ESPERANZA PREPARATORY ACADEMY,,,,,,,,,,,,,,YES,,After-school computer class; Dual language program and welcomes special needs students; classrooms have SMART boards and laptops from a Hewlitt-Packard grant,240 EAST 109TH ST,http://insideschools.org/component/schools/school/1582,NEW YORK COUNTY,MANHATTAN,6th Grade,12th Grade,148,75,73,0,0,,,95.8%
10463,EXCELSIOR PREPARATORY HIGH SCHOOL,,,,,,,,,,,,,,,,None; Gateway Institute (CUNY) ,143 10 SPRINGFIELD BLVD,http://insideschools.org/component/schools/school/1221,QUEENS COUNTY,SPRINGFIELD GARDENS,9th Grade,12th Grade,480,142,135,103,100,,,78.5%
10456,EXIMIUS COLLEGE PREPARATORY ACADEMY,,,,,,,,,,,,,,YES,,Technology Club,"1363 FULTON AVENUE, Bronx NY 10456",http://insideschools.org/component/schools/school/392?Itemid=64,,BRONX,9th Grade,12th Grade,423,138,107,111,67,,,91.7%
11214,Expeditionary Learning School for Community Leaders,,,,,YES,,,,YES,,,,,YES,,Web Design Club,"2630 Benson Avenue, Brooklyn, NY 11214",http://insideschools.org/component/schools/school/1480?Itemid=64,,Brooklyn,9th Grade,12th Grade,276,78,72,70,56,,,79.0%
10460,EXPLORATIONS ACADEMY,,,,,,,,,,,,,,YES,,Technology Club,"1619 Boston Road, Bronx, NY 10460",http://insideschools.org/component/schools/school/393?Itemid=64,,BRONX,9th Grade,12th Grade,357,109,96,75,77,,,92.4%
10019,FACING HISTORY SCHOOL,,,,,,,,,,,,,,YES,,Tech Crew Club,"525 West 50th Street, New York, NY 10019","http://www.facinghistoryschool.org/
http://insideschools.org/component/schools/school/77",,MANHATTAN,9th Grade,12th Grade,417,153,100,87,77,,,100.0%
10460,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,,,,,,,,,,,,YES,,,,Uses Khan Academy; C/I has 2 classes,"1021 JENNINGS STREET, Bronx NY 10460",http://insideschools.org/component/schools/school/577,,BRONX,9th Grade,12th Grade,493,119,130,108,136,,,100.0%
11207,FDNY High School for Fire and Life Safey,,,YES,,,,,,,,,,,YES,,Pathway to join the Fire Dept; Technology Extracurricular,"400 Pennsylvania Ave, Brooklyn NY 11207",http://insideschools.org/component/schools/school/826,,BROOKLYN,9th Grade,12th Grade,296,89,74,57,76,,,83.4%
10473,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY,,,YES,,,,,,,,,,,,,None,"1440 Story Avenue, Bronx, NY 10473",http://insideschools.org/component/schools/school/341?Itemid=64,,BRONX,9th Grade,12th Grade,341,93,116,69,63,,,80.6%
11355,FLUSHING INTERNATIONAL HIGH SCHOOL,,,,,YES,YES,,,,,,,,,,None; Internship program during spring,"144-80 Barclay Avenue, Flushing, NY 11355",http://www.flushinginternational.org/,,Queens,9th Grade,12th Grade,412,93,112,101,106,,,96.8%
10019,FOOD AND FINANCE HIGH SCHOOL,,,YES,,,,,,,,,,,,,Culinary HS; food handling certifications,"525 West 50th Street, New York, NY 10019",http://www.foodfinancehs.org/,,MANHATTAN,9th Grade,12th Grade,443,124,118,100,101,,,81.9%
10458,FORDHAM HIGH SCHOOL FOR THE ARTS,,,YES,,,,,,,,,YES,,,,Computer Science A; C/I has one after-school class; performing arts focused,"500 East Fordham Road, Bronx, NY 10458",http://insideschools.org/component/schools/school/472,,BRONX,9th Grade,12th Grade,407,137,101,104,65,,,88.9%
10458,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,,,,,,,,,,,,,,,,"Paid Internships at Capital One; 80 students in JP Morgan mentors program
*Unclear if school is closing","500 East Fordham Road, Bronx, NY 10458",http://insideschools.org/component/schools/school/473,,BRONX,9th Grade,12th Grade,460,157,129,92,82,,,90.4%
11413,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,,,,,,,,,,,,,,,,None,470 JACKSON AVE,http://insideschools.org/component/schools/school/292,BRONX COUNTY,BRONX,9th Grade,12th Grade,189,69,56,31,33,,,91.5%
10460,FORSYTH SATELLITE ACADEMY,,,,,,,,,,,,,,,,Transfer school,198 FORSYTH ST,http://insideschools.org/component/schools/school/8162?Itemid=64,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,224,28,70,66,60,,,79.0%
11206,FOUNDATIONS ACADEMY,,,,,,,,,,,,,,,,None; AP Calc offered,"70 TOMPKINS AVENUE, Brooklyn NY 11206",http://insideschools.org/component/schools/school/719,,BROOKLYN,9th Grade,12th Grade,110,29,32,29,20,,,87.3%
11222,FRANCES PERKINS ACADEMY,,,,,,,,,,,,,,,,None,"50 Bedford Avenue, Brooklyn, NY 11222",http://insideschools.org/component/schools/school/1509?Itemid=64,,BROOKLYN,9th Grade,12th Grade,157,33,33,44,47,,,86.6%
11365,Francis Lewis High School,,,YES,,,,,,,,,,,,,Computer Science A; Tech Crew,"58-20 Utopia Parkway, Queens NY 11365",http://insideschools.org/component/schools/school/1099,,Queens,9th Grade,12th Grade,4058,1012,1057,1034,955,,,74.7%
11204,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,,,,,,,,,,,,,,,,None; (718) 621-8800,"5800 20th Ave, Brooklyn, NY 11204",http://schools.nyc.gov/SchoolPortals/20/K505/default.htm,,BROOKLYN,9th Grade,12th Grade,3130,903,1005,581,641,,,79.7%
11212,FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,,,,,,,,,,,,,,YES,,Women in Science Club - shares building with Teachers Prep HS,"226 Bristol Street, Brooklyn, NY 11212",http://insideschools.org/component/schools/school/959,,BROOKLYN,9th Grade,12th Grade,328,103,94,68,63,,,84.8%
11207,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,,,,YES,,,,,,,,,,YES,,STEM track and Humanities track; MOUSE Squad,215 WEST 114TH ST,http://insideschools.org/component/schools/school/159,NEW YORK COUNTY,NEW YORK,6th Grade,12th Grade,316,107,64,78,67,,,76.0%
10456,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,,,,,YES,,,,,YES,,,,,,No info; Principal: RAHESHA AMON (718) 538-9726,"3630 3rd Ave, Bronx, NY 10456",http://schools.nyc.gov/SchoolPortals/09/X517/default.htm,,BRONX,7th Grade,12th Grade,410,141,110,94,65,,,86.1%
10473,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,,,,,,,,,,,,,,,,None,1010 LAFAYETTE AVE,http://insideschools.org/component/schools/school/717?Itemid=64,KINGS COUNTY,BROOKLYN,7th Grade,12th Grade,126,47,26,29,24,,,88.4%
11691,FREDERICK DOUGLASS ACADEMY VI SECONDARY SCHOOL,,,,,,,,,,,,,,YES,,Tech Extracurricular ,"8-21 Bay 25th Street, Far Rockaway, NY 11691",http://insideschools.org/component/schools/school/1144,,Queens,9th Grade,12th Grade,412,114,146,74,78,,,76.7%
11314,George Washington Carver High School for the Sciences,,,YES,,,,,,,,,,,,,Unclear; Internships and paid employment opportunities,"143-10 Sprinfield Blvd, Queens NY 11413",http://insideschools.org/component/schools/school/1222,,Queens,9th Grade,12th Grade,498,124,142,123,109,,,74.5%
11201,George Westinghouse Career and Technical Education High School,YES,,,,YES,,,,,YES,,,,,,Current ScriptEd School,"105 Johnson Street, Brooklyn, NY 11201",http://insideschools.org/component/schools/school/619,,BROOKLYN,9th Grade,12th Grade,702,151,162,173,216,,,77.6%
10473,GOTHAM PROFESSIONAL ARTS ACADEMY,,,,,,,,,,,,,,,,None,265 RALPH AVE,http://insideschools.org/component/schools/school/1482,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,242,52,66,71,53,,,100.0%
10002,GREAT OAKS CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear,"1 Monroe St, Manhattan NY 10002",http://insideschools.org/component/schools/school/8310,,MANHATTAN,6th Grade,12th Grade,89*,,,,,84.0%,,
10455,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,,,,,,,,,,,,,,,,Anime and Video Gaming extracurricular offered; environmental and social justice themed,223 GRAHAM AVE,http://insideschools.org/component/schools/school/1373,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,328,55,94,92,87,,,85.7%
10032,Gregorio Luperon High School for Science and Mathematics,,,,,YES,,,,YES,,,,,,,Computer Science A Course,"501 West 165th Street, New York, NY 10032",http://insideschools.org/component/schools/school/260,,MANHATTAN,9th Grade,12th Grade,491,95,172,121,103,,,92.7%
11385,GROVER CLEVELAND HIGH SCHOOL,,YES,,,,,,,,,,,,,YES,Computer/Graphic Arts Club,"21-27 HIMROD STREET, Queens NY 11385",http://insideschools.org/component/schools/school/1027,Queens County,Queens,9th Grade,12th Grade,1869,514,470,388,497,73.0%,,
10027,HARLEM CHILDREN'S ZONE PROMISE ACADEMY I CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear,"245 West 129th Street, Manhattan 10027",http://insideschools.org/component/schools/school/1393,,Manhattan,9th Grade,11th Grade,927,,,,,84.0%,,
10035,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,,,,,,,,,,,,,,,YES,Unclear,"35 East 125th Street, Manhattan 10035",http://insideschools.org/component/schools/school/1284,,Manhattan,7th Grade,10th Grade,664*,,,,,78.0%,,
11206,HARLEM RENAISSANCE HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear; LTW program,22 EAST 128TH ST,http://insideschools.org/component/schools/school/1320,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,232,31,44,60,97,,,76.3%
10027,Harlem Village Academies High School,YES,,,,,,,,,,,,,,YES,Current ScriptEd School,"35 West 124th Street, Manhattan NY 10027",http://harlemvillageacademies.org/,,MANHATTAN,9th Grade,12th Grade,691*,,,,,?,?,
10003,HARVEY MILK HIGH SCHOOL,,,,,,,,,,,,,,,,"""Safehaven for LGBT students""; very small; limited offerings","2 Astor Place #3, New York, NY 10003",http://insideschools.org/component/schools/school/111,,MANHATTAN,9th Grade,12th Grade,75,1,17,28,29,,,85.3%
10451,HEALTH OPPORTUNITIES HIGH SCHOOL,,,,,,,,,,,,,,,,Unclear,"350 Gerard Avenue, Bronx, NY 10451",http://insideschools.org/component/schools/school/298,,BRONX,9th Grade,12th Grade,577,199,182,107,89,,,87.0%
10455,"Health, Education, and Research occupations High School (H.E.R.O)",,,YES,,,,,,,,,,,,,High School diploma plus 2 years college credit; access to Hostos College,"455 Southern Blvd, Bronx NY 10455",http://insideschools.org/component/schools/school/8244,,Bronx,9th Grade,10th Grade,126,126,0,0,0,,,100.0%
10003,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,,,,,,,,,,,,,,,,None; 4 years of Chinese,220 HENRY ST,http://insideschools.org/component/schools/school/23,NEW YORK COUNTY,NEW YORK,6th Grade,12th Grade,258,59,68,68,63,,,83.0%
10002,HERITAGE SCHOOL,,,,,,,,,,,,,,,,None; Support from Teacher's College Columbia Universiity; ,1680 LEXINGTON AVE,http://insideschools.org/component/schools/school/190?Itemid=64,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,351,118,117,66,50,,,88.6%
11368,HIGH SCHOOL FOR ARTS AND BUSINESS,,,YES,,,,,,,,,,YES,,,AP CS offered; Robotics and extensive extracurriculars; 718) 271-8383 ,"105-25 HORACE HARDING EXPY N, Queens NY 11368",http://insideschools.org/component/schools/school/1030,,Queens,9th Grade,12th Grade,887,247,236,249,155,,,100.0%
10023,"High School for Arts, Imagination and Inquiry",,,YES,,,,,,,,,,,,,Unclear; art-infused learning,"122 Amsterdam Avenue, New York, NY 10023",http://insideschools.org/component/schools/school/150,,MANHATTAN,9th Grade,12th Grade,435,157,110,92,76,,,83.2%
11368,HIGH SCHOOL FOR CIVIL RIGHTS,,,,,,,,,,,,,,,,None; focus on law,400 PENNSYLVANIA AVE,http://insideschools.org/component/schools/school/827,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,349,101,89,85,74,,,76.8%
11207,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,,,,,,,,,,,,,,,,Technology and Design Course that focuses on 3-D modeling,167 01 GOTHIC DR,http://nychscl.org/,QUEENS COUNTY,JAMAICA,9th Grade,11th Grade,357,107,126,64,60,,,87.4%
11211,HIGH SCHOOL FOR CONTEMPORARY ARTS,,,,,,,,,,,,,,,,None,800 EAST GUN HILL RD,http://insideschools.org/component/schools/school/534,BRONX COUNTY,BRONX,9th Grade,12th Grade,518,151,167,98,102,,,100.0%
10034,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,,,,,,,,,,,,,,,,None; Students taught in English and Mandarin Chinese,350 GRAND ST,http://insideschools.org/component/schools/school/107,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,410,107,122,96,85,,,88.8%
10458,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,,,YES,,,,,,,,,,,,,None (shared campus with below),"2474 CROTONA AVENUE, Bronx, NY 10458","http://www.hsenergytech.org/
http://insideschools.org/component/schools/school/8153",,Bronx,9th Grade,11th Grade,211,114,97,0,0,,,100.0%
10040,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,,,,,,,,,,,,,,,,None; internships and field trips based on environment studies,444 WEST 56TH ST,http://insideschools.org/component/schools/school/81,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,1312,355,333,314,310,,,75.5%
11236,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,,,,,,,,,,,,,,,,None; designed for students who have been held back twice,650 ACADEMY ST,http://insideschools.org/component/schools/school/1650?Itemid=64,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,223,77,72,38,36,,,87.9%
11225,High School for Global Citizenship,YES,,,,YES,,,,YES,,,,,,,Current ScriptEd School,"883 Classon Avenue, Brooklyn, NY 11225",http://insideschools.org/component/schools/school/759,,BROOKLYN,9th Grade,12th Grade,256,45,75,65,71,,,88.3%
10469,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,,,,,,,,,,,,,,,,None,549 AUDUBON AVE,http://insideschools.org/component/schools/school/258,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,624,201,177,113,133,,,92.8%
10003,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,,,YES,,,,,,,,,,,,,Computer Extracurricular offered,345 East 15th Sst Manhattan NY 10003,http://insideschools.org/component/schools/school/87,,MANHATTAN,9th Grade,12th Grade,1706,457,487,408,354,,,100.0%
11236,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,,,YES,,YES,,,,,YES,,,,,,Encourages blacks and hispanics to get involved in advertising and media,"1600 Rockaway Parkway, Brooklyn NY 11236",http://insideschools.org/component/schools/school/1510,,BROOKLYN,9th Grade,12th Grade,313,86,112,67,48,,,80.5%
10003,High School for Language and Diplomacy,YES,,,,YES,,,,YES,,,,,,,Current ScriptEd School,"40 IRVING PLACE, Manhattan New York 10003",http://insideschools.org/component/schools/school/1592,,MANHATTAN,9th Grade,12th Grade,358,113,108,80,57,,,87.4%
10040,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,,,YES,,,,,,,,,,,,,None; Offer Calc AB; (212) 342-6130 ,"549 Audubon Ave, New York, NY 10040",http://www.hslps.net/,,MANHATTAN,9th Grade,12th Grade,679,225,194,130,130,,,75.8%
10468,"High School for Law, Advocacy and Community Justice",,,,,,,,,,,,,,,,None; classes taught by lawyers,122 AMSTERDAM AVE,http://insideschools.org/component/schools/school/156,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,531,178,148,111,94,,,88.1%
11226,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,,,,,,,,,,,,,,,,None,549 AUDUBON AVE,http://insideschools.org/component/schools/school/256,NEW YORK COUNTY,NEW YORK,9th Grade,12th Grade,523,196,144,84,99,,,89.3%
10023,HIGH SCHOOL FOR MEDICAL PROFESSIONS,,,,,,,,,,,,,,,,None; In-class EMT training; professional skills,1600 ROCKAWAY PARKWAY,http://insideschools.org/component/schools/school/1511?Itemid=64,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,441,101,113,108,119,,,92.1%
11203,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,,,,,,,,,,,,,,,,None; Top graduation rates; medical or legal tracks; ,"600 Kingston Avenue, Brooklyn, NY 11203",http://insideschools.org/component/schools/school/766,,BROOKLYN,9th Grade,12th Grade,439,102,113,110,114,,,86.1%
10467,HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS,,,,,,,,,,,,,,,,None,911 FLATBUSH AVE,http://insideschools.org/component/schools/school/763,KINGS COUNTY,BROOKLYN,9th Grade,12th Grade,434,109,115,111,99,,,77.6%
10468,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,,,YES,,,,,,,,,,,,,None; (718) 329-7380 ,"2780 Reservoir Avenue, Bronx, NY 10468",http://insideschools.org/component/schools/school/469,,BRONX,9th Grade,12th Grade,499,191,118,114,76,,,91.2%
10006,HIGH SCHOOL FOR VIOLIN AND DANCE,,,,,,,,,,,,,,,,None,1100 BOSTON RD,http://insideschools.org/component/schools/school/406,BRONX COUNTY,BRONX,9th Grade,12th Grade,378,105,87,113,73,,,92.1%
11226,High School for Youth and Community Development at Erasmus,,,,,,,,,,,,,,,,None,"911 FLATBUSH AVENUE, Brooklyn NY 11226",http://insideschools.org/component/schools/school/762,,BROOKLYN,9th Grade,12th Grade,347,96,88,89,74,,,82.1%
11101,HIGH SCHOOL OF APPLIED COMMUNICATION,,,,,,,,,,,,,,,,None,"30-20 Thomson Avenue, Long Island City, NY 11101",http://insideschools.org/component/schools/school/1025,,Queens,9th Grade,12th Grade,421,110,140,92,79,,,75.5%
